"Profile_key","Age","T_stage","N_stage","M_stage","Surgery","Radiation","Risk_36m","Risk_60m","Risk_120m","Linear_predictor"
"55-69|T1|N1|M0|No|Yes","55-69","T1","N1","M0","No","Yes",0.0752789712318789,0.119093866066811,0.214847172293706,1.9758131321523
">=70|T1|N1|M0|No|Yes",">=70","T1","N1","M0","No","Yes",0.174381936357475,0.266899873310776,0.446903077347612,2.87126584124036
"<55|T2|N1|M0|No|Yes","<55","T2","N1","M0","No","Yes",0.0717543903814504,0.113647393268954,0.205561420527158,1.92598342047366
"55-69|T2|N1|M0|No|Yes","55-69","T2","N1","M0","No","Yes",0.110899640991457,0.173412895598675,0.304608403353857,2.38255851536732
">=70|T2|N1|M0|No|Yes",">=70","T2","N1","M0","No","Yes",0.250090494103588,0.372684766538879,0.589126984828183,3.27801122445537
"<55|T3|N1|M0|No|Yes","<55","T3","N1","M0","No","Yes",0.127067295910367,0.197628724192143,0.342951202158317,2.52763177651346
"55-69|T3|N1|M0|No|Yes","55-69","T3","N1","M0","No","Yes",0.193083095274596,0.293615077029305,0.484713174936698,2.98420687140712
">=70|T3|N1|M0|No|Yes",">=70","T3","N1","M0","No","Yes",0.408607828681992,0.573040798478668,0.802772166455519,3.87965958049517
"<55|T4|N1|M0|No|Yes","<55","T4","N1","M0","No","Yes",0.197952043301502,0.300508102289637,0.494262011245327,3.01202752975107
"55-69|T4|N1|M0|No|Yes","55-69","T4","N1","M0","No","Yes",0.294064375383354,0.431192970135765,0.659121386310691,3.46860262464473
">=70|T4|N1|M0|No|Yes",">=70","T4","N1","M0","No","Yes",0.573705413070902,0.748785084309475,0.928287198659689,4.36405533373279
"<55|T1|N0|M1|No|Yes","<55","T1","N0","M1","No","Yes",0.0983955719075179,0.15449590559486,0.273936764175585,2.25607443026701
"55-69|T1|N0|M1|No|Yes","55-69","T1","N0","M1","No","Yes",0.150847471565123,0.232743381818967,0.396709893063454,2.71264952516066
">=70|T1|N0|M1|No|Yes",">=70","T1","N0","M1","No","Yes",0.32992180985076,0.477262554064993,0.709844567408723,3.60810223424872
"<55|T2|N0|M1|No|Yes","<55","T2","N0","M1","No","Yes",0.144071256545926,0.222798705986062,0.381706739220513,2.66281981348202
"55-69|T2|N0|M1|No|Yes","55-69","T2","N0","M1","No","Yes",0.217756259599268,0.328277552189887,0.531868834209879,3.11939490837568
">=70|T2|N0|M1|No|Yes",">=70","T2","N0","M1","No","Yes",0.451907197096646,0.622528593631051,0.844075834733091,4.01484761746374
"<55|T3|N0|M1|No|Yes","<55","T3","N0","M1","No","Yes",0.247181627205573,0.36873747820856,0.584181381055455,3.26446816952182
"55-69|T3|N0|M1|No|Yes","55-69","T3","N0","M1","No","Yes",0.361242492301565,0.516273438582265,0.749746789662128,3.72104326441548
">=70|T3|N0|M1|No|Yes",">=70","T3","N0","M1","No","Yes",0.666284678747501,0.831049059923799,0.966351454252559,4.61649597350354
"<55|T4|N0|M1|No|Yes","<55","T4","N0","M1","No","Yes",0.369268820839008,0.526083205035176,0.75933818622185,3.74886392275944
"55-69|T4|N0|M1|No|Yes","55-69","T4","N0","M1","No","Yes",0.516916047643051,0.692358770906514,0.894451144564564,4.2054390176531
">=70|T4|N0|M1|No|Yes",">=70","T4","N0","M1","No","Yes",0.831598069274508,0.944216503164392,0.995935747530248,5.10089172674115
"<55|T1|N1|M1|No|Yes","<55","T1","N1","M1","No","Yes",0.270982919823997,0.400755905639983,0.623484463822095,3.37166202792658
"55-69|T1|N1|M1|No|Yes","55-69","T1","N1","M1","No","Yes",0.39283073019104,0.554433624762438,0.786052951561548,3.82823712282024
">=70|T1|N1|M1|No|Yes",">=70","T1","N1","M1","No","Yes",0.705255205254808,0.861840197083273,0.977075889344097,4.7236898319083
"<55|T2|N1|M1|No|Yes","<55","T2","N1","M1","No","Yes",0.377924945542655,0.536576259825958,0.769400076854054,3.7784074111416
"55-69|T2|N1|M1|No|Yes","55-69","T2","N1","M1","No","Yes",0.527340628537409,0.703042738827212,0.901332860567949,4.23498250603526
">=70|T2|N1|M1|No|Yes",">=70","T2","N1","M1","No","Yes",0.840357073191162,0.948841161179418,0.996554217884411,5.13043521512331
"<55|T3|N1|M1|No|Yes","<55","T3","N1","M1","No","Yes",0.579527728473986,0.754320636185186,0.931271247230241,4.3800557671814
"55-69|T3|N1|M1|No|Yes","55-69","T3","N1","M1","No","Yes",0.745311116647466,0.890956279474634,0.98540381444628,4.83663086207506
">=70|T3|N1|M1|No|Yes",">=70","T3","N1","M1","No","Yes",0.964872378933506,0.995598313168874,0.999967993147652,5.73208357116311
